Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.054692852,0.062735991,0.054692852,0.060054533,1031788800,0,0
1986-03-14 00:00:00-05:00,0.060054536,0.063272162,0.060054536,0.062199209,308160000,0,0
1986-03-17 00:00:00-05:00,0.06219921,0.063808331,0.06219921,0.063272163,133171200,0,0
1986-03-18 00:00:00-05:00,0.063272149,0.063808317,0.06112686,0.061663028,67766400,0,0
1986-03-19 00:00:00-05:00,0.061663081,0.06219925,0.060054575,0.060590744,47894400,0,0
1986-03-20 00:00:00-05:00,0.06059074,0.06059074,0.058446066,0.058982234,58435200,0,0
1986-03-21 00:00:00-05:00,0.058982203,0.06005454,0.056301362,0.057373699,59990400,0,0
1986-03-24 00:00:00-05:00,0.057373682,0.057373682,0.05522901,0.055765178,65289600,0,0
1986-03-25 00:00:00-05:00,0.055765218,0.056837555,0.05522905,0.056837555,32083200,0,0
1986-03-26 00:00:00-05:00,0.056837523,0.058982195,0.056301355,0.058446027,22752000,0,0
1986-03-27 00:00:00-05:00,0.058446034,0.059518371,0.058446034,0.059518371,16848000,0,0
1986-03-31 00:00:00-05:00,0.059518403,0.059518403,0.057909897,0.058982234,12873600,0,0
1986-04-01 00:00:00-05:00,0.058982195,0.058982195,0.058446027,0.058446027,11088000,0,0
1986-04-02 00:00:00-05:00,0.058446066,0.060054571,0.058446066,0.058982234,27014400,0,0
1986-04-03 00:00:00-05:00,0.059518371,0.061126875,0.059518371,0.059518371,23040000,0,0
1986-04-04 00:00:00-05:00,0.059518371,0.060054539,0.059518371,0.059518371,26582400,0,0
1986-04-07 00:00:00-05:00,0.059518364,0.060054532,0.057373691,0.058446027,16560000,0,0
1986-04-08 00:00:00-05:00,0.058446066,0.060054571,0.058446066,0.058982234,10252800,0,0
1986-04-09 00:00:00-05:00,0.058982197,0.060590701,0.058982197,0.060054533,12153600,0,0
1986-04-10 00:00:00-05:00,0.060054575,0.061126913,0.058982238,0.060590744,13881600,0,0
1986-04-11 00:00:00-05:00,0.06112686,0.062735981,0.06112686,0.061663028,17222400,0,0
1986-04-14 00:00:00-05:00,0.061663041,0.062735994,0.061663041,0.062199209,12153600,0,0
1986-04-15 00:00:00-05:00,0.062199209,0.062199209,0.060054536,0.062199209,9302400,0,0
1986-04-16 00:00:00-05:00,0.062199213,0.064880671,0.061663045,0.064344503,31910400,0,0
1986-04-17 00:00:00-05:00,0.064344501,0.064880669,0.064344501,0.064880669,22003200,0,0
1986-04-18 00:00:00-05:00,0.064880655,0.064880655,0.062199197,0.062735982,21628800,0,0
1986-04-21 00:00:00-05:00,0.062735982,0.06327215,0.061126861,0.062735982,22924800,0,0
1986-04-22 00:00:00-05:00,0.062735981,0.062735981,0.061663028,0.061663028,15552000,0,0
1986-04-23 00:00:00-05:00,0.061663055,0.062199223,0.061126887,0.061931137,15609600,0,0
1986-04-24 00:00:00-05:00,0.061931114,0.069170002,0.061663032,0.068097666,62352000,0,0
1986-04-25 00:00:00-05:00,0.06863387,0.075336594,0.06863387,0.072387666,85795200,0,0
1986-04-28 00:00:00-04:00,0.072387634,0.07345997,0.071850849,0.072923802,28886400,0,0
1986-04-29 00:00:00-04:00,0.072923839,0.072923839,0.07024238,0.070778549,30326400,0,0
1986-04-30 00:00:00-04:00,0.070778525,0.071314694,0.067561516,0.069170021,30902400,0,0
1986-05-01 00:00:00-04:00,0.069170002,0.069170002,0.06702533,0.068097666,54345600,0,0
1986-05-02 00:00:00-04:00,0.068097666,0.069170002,0.067561498,0.068097666,20246400,0,0
1986-05-05 00:00:00-04:00,0.068097653,0.068097653,0.067561485,0.067561485,3254400,0,0
1986-05-06 00:00:00-04:00,0.068097666,0.069170002,0.068097666,0.068097666,9734400,0,0
1986-05-07 00:00:00-04:00,0.068097666,0.068633834,0.06702533,0.068097666,5155200,0,0
1986-05-08 00:00:00-04:00,0.068097679,0.068633847,0.067561511,0.068633847,3542400,0,0
1986-05-09 00:00:00-04:00,0.068633834,0.068633834,0.068097666,0.068097666,6076800,0,0
1986-05-12 00:00:00-04:00,0.068097679,0.070242352,0.068097679,0.068633847,10483200,0,0
1986-05-13 00:00:00-04:00,0.068633852,0.069706189,0.068633852,0.069170021,3830400,0,0
1986-05-14 00:00:00-04:00,0.069170015,0.069170015,0.068633847,0.068633847,9302400,0,0
1986-05-15 00:00:00-04:00,0.068633847,0.069706183,0.068633847,0.068633847,3801600,0,0
1986-05-16 00:00:00-04:00,0.068633852,0.070778525,0.068633852,0.069170021,11952000,0,0
